库勒涅;Cyllène
丰功伟业;kluta erga
荣耀;timê
阿尔费奥斯;Alphée
皮埃里亚;Piérie
倒行;epistrophaden
翁凯思托斯;Onchestos
皮洛斯;Pylos
范例;modèle
反例;contre modèle
埃里斯;Élis
智巧;mêtis
肉的祭祀;hosie
呼告;evocatio
艺术创作;poêsis
最高层级的密仪;epopteia
象征物;symbolon
统治者;μεδέοντα
福尔巴斯;Phorbas
培涅俄斯;Phénéos
司图姆帕勒斯城;Stymphale
美伽洛波利提德斯地区;Mégalopolitide
阿尔卡斯;Arcas
埃皮托斯;Aepytos
回赠;ἀμοιβή
凯拉多尼亚，因赫尔墨斯在那里找到乌龟而以此为名;Chelydonea
阿凯亚;Achaïe
培涅俄斯;Phénéos
欧那塔斯;Onatas
赫尔迈亚;Hermaia
乡间;chôra
佩勒涅;Pellène
特奥克塞尼奥斯，直译为“外乡的神”;Theoxenios
特奥克塞尼亚;theoxenia
阿斯福德罗斯;Asphodèles
埃皮塔利奥;Épitalion
特里福里亚;Triphylie
皮萨提斯;Pisatide
萨米孔;Samikon
埃律芒托斯河;Érymanthos
赫莱伊亚;Heraia
米尼亚人;Minyans
近邻同盟;l’amphictionie
源起;aition
功绩;erga
欲望;ἔρος
让·吕达尔;Jean Rudhardt
宴会主菜;ôpson
赫尔墨斯·狄亚克托洛斯;diaktoros
仆人;diâkonos
怪物;μορμώ
克塞诺斯;xenoi
还愿;anathêmata
龟甲里拉;chelys
金钱;chrêmata
史实;realia
