菲迪亚斯;Phidias
托马斯·施特鲁特;Thomas Struth
贝尔加马;Bergama
什叶派头巾;Tchador
开科斯河谷;古希腊语：Κάϊκος，今巴克尔恰伊河，土耳其语：Bakırçay
厄莱阿;Elaea
劫掠萨宾妇女;L’Enlèvement des Sabines
观景庭的阿波罗;Apollon du Belvédère
忒勒福斯;Télèphe，赫拉克勒斯之子
欧墨涅斯二世;Eumène II
加拉特人;Galates
阿塔洛斯二世;Attale II
塞利努斯河;古希腊语：Σελινοῦς，今贝尔加马河，土耳其语：Bergama Çayı
曼弗雷德·克林科特;Manfred Klinkott
卡尔·胡曼;Carl Humann
沃尔弗拉姆·赫普夫纳;Wolfram Hoepfner
克拉罗斯;Claros
迪翁;Dion
特拉勒斯;古希腊语：Τράλλεις，今艾登，土耳其语：Aydın
科斯岛;Cos
迈安德罗斯沿岸的马格涅西亚;Magnésie du Méandre
普利厄涅;Priène
阿尼姆·冯·格坎;Arnim von Gerkan
约瑟夫·卡特;Joseph Carter
悼丧妇女石棺;Sacrophage des Pleureuses
狄底马;Didymes
哈利卡尔那索斯;Halicarnasse
于贝尔·罗贝尔;Hubert Robert
夏尔·佩罗;Charles Perrault
